player,total_runs,balls_faced,innings,dismissals,strike_rate,batting_avg,recent_strike_rate,ball_bowled,runs_conceded,matches,wickets,economy,bowling_avg,recent_economy
D Jansen,0.0,,0.0,,118.80341880341881,19.727272727272727,93.82142857142857,28.0,53.0,1.0,1.0,11.357142857142856,53.0,13.25
D Kalyankrishna,0.0,,0.0,,118.80341880341881,19.727272727272727,93.82142857142857,50.0,88.0,3.0,2.0,10.559999999999999,44.0,11.0
D Padikkal,1806.0,1496.0,74.0,72.0,120.72192513368985,25.083333333333332,116.10714285714286,,,,0.0,8.529553786998122,31.396128841607563,9.1
D Pretorius,0.0,,0.0,,118.80341880341881,19.727272727272727,93.82142857142857,166.0,242.0,7.0,6.0,8.74698795180723,40.333333333333336,9.68
D Salunkhe,0.0,,0.0,,118.80341880341881,19.727272727272727,93.82142857142857,51.0,80.0,5.0,1.0,9.411764705882353,80.0,10.0
D Wiese,148.0,105.0,11.0,6.0,140.95238095238096,24.666666666666668,171.66666666666666,307.0,447.0,15.0,16.0,8.736156351791532,27.9375,9.533333333333333
D du Preez,0.0,,0.0,,118.80341880341881,19.727272727272727,93.82142857142857,43.0,56.0,2.0,4.0,7.813953488372093,14.0,8.0
DA Miller,3077.0,2295.0,133.0,89.0,134.07407407407408,34.57303370786517,101.51812240047533,,,,0.0,8.529553786998122,31.396128841607563,9.1
DA Warner,6567.0,4849.0,184.0,164.0,135.4299855640338,40.042682926829265,81.82539682539684,2.0,2.0,1.0,0.0,6.0,31.396128841607563,2.0
DAJ Bracewell,0.0,,0.0,,118.80341880341881,19.727272727272727,93.82142857142857,25.0,32.0,1.0,3.0,7.68,10.666666666666666,8.0
DB Das,304.0,267.0,22.0,12.0,113.85767790262172,25.333333333333332,109.05882352941175,,,,0.0,8.529553786998122,31.396128841607563,9.1
DB Ravi Teja,375.0,325.0,25.0,20.0,115.38461538461537,18.75,102.85714285714286,18.0,28.0,2.0,1.0,9.333333333333334,28.0,9.333333333333334
DE Bollinger,0.0,,0.0,,118.80341880341881,19.727272727272727,93.82142857142857,600.0,716.0,27.0,37.0,7.16,19.35135135135135,8.266666666666667
DG Nalkande,0.0,,0.0,,118.80341880341881,19.727272727272727,93.82142857142857,89.0,150.0,6.0,6.0,10.112359550561797,25.0,10.0
DH Yagnik,170.0,142.0,17.0,9.0,119.71830985915493,18.88888888888889,95.39682539682539,,,,0.0,8.529553786998122,31.396128841607563,9.1
DJ Bravo,1560.0,1247.0,110.0,69.0,125.10024057738573,22.608695652173914,81.66666666666666,3296.0,4436.0,158.0,183.0,8.075242718446601,24.240437158469945,9.3
DJ Harris,0.0,,0.0,,118.80341880341881,19.727272727272727,93.82142857142857,18.0,26.0,2.0,0.0,8.666666666666666,31.396128841607563,8.666666666666666
DJ Hooda,1497.0,1213.0,101.0,82.0,123.41302555647155,18.25609756097561,60.01932367149757,391.0,550.0,34.0,10.0,8.439897698209718,55.0,9.266666666666667
DJ Hussey,1322.0,1101.0,61.0,49.0,120.07266121707538,26.979591836734695,99.25636469574178,323.0,485.0,26.0,8.0,9.009287925696594,60.625,9.1
